period_end,reviews,average_rating,share_1_2_star,low_rated_count,support_mentions,charges_mentions,perf_mentions,features_mentions,money_mentions,unthemed_mentions
2026-09-18,1044,4.29,0.146,186,34,32,26,17,12,90
2026-09-11,1050,4.42,0.115,155,16,17,14,18,3,97
2026-09-04,1515,4.35,0.124,249,23,28,43,35,9,139
2026-08-28,1058,4.31,0.14,179,31,35,26,41,19,67
2026-08-21,1070,4.43,0.119,150,24,17,15,15,15,82
2026-08-14,1182,4.41,0.122,171,28,18,21,12,7,97
2026-08-07,1207,4.42,0.117,177,19,30,27,16,14,90
2026-07-31,1034,4.53,0.09,118,11,14,13,11,10,70
2026-07-24,366,4.36,0.134,60,4,9,8,8,6,30
